Species/Group,Bmsy,MTL
Am_plaice,28600,4.2
CC_GOM_YellowtailFlounder,12600,3.2
GB_YellowtailFlounder,58800,3.2
GB_Cod,82830,4.4
GB_Haddock,250300,4.1
GB_WinterFlounder,9400,4.2
GOM_GB_WindowpaneFlounder,9987,4.2
GOM_Cod,82830,4.4
GOM_Haddock,124076,4.1
GOM_WinterFlounder,4100,4.2
Halibut,5400,4.2
Ocean_pout,102635,3.8
Pollock,49802,3.8
Redfish,236700,3.8
SNE_MA_WindowpaneFlounder,15264,4.2
SNE_MA_WinterFlounder,30100,4.2
SNE_MA_YellowtailFlounder,69500,3.2
White_hake,92446,4.2
WitchFlounder,25248,4.2
Butterfish,22978,3.2
Herring,629000,3.2
Mackerel,644000,3.7
Skates,737182,4
Spiny_dogfish,418549,4.3
PELAGICS,1295978,NA
GROUNDFISH,1424788,NA
ELASMOBRANCHS,1155731,NA
