R,K,THETA
0.235352461,124047.4324,0.42947614
0.759571573,8094.401976,0.268940782
0.591473247,52085.14529,0.548598265
0.301734286,657314.9508,0.119251802
0.26710018,588118.7781,0.068733307
0.756307906,24492.30244,0.284372028
0.306430571,15092.41858,0.999999966
0.529777284,154624.8985,0.444313825
0.784844048,36302.39516,0.499996393
0.670321069,11487.324,0.119202953
0.098214382,4804.58605,0.279661592
1.584548935,15856.70109,0.362581901
0.422431849,155846.4338,0.548840267
0.124154255,4899210.579,0.014364803
0.263068456,13950.38931,0.826053418
0.549003564,19509.99633,0.499168633
0.945567502,44980.10253,0.182425524
0.231043524,86287.348,0.571847196
0.230449084,47363.27255,0.999999482
1.345994341,82614.06625,0.584655769
0.804933276,964257.2467,0.233122539
1.355812576,485279.1553,0.690153647
0.393685545,970578.7024,0.506933267
0.262823649,500835.004,0.308776623
